,polyline_point_index,latitude,longitude,trip(m),dist_to_next_coordinate(m),true_bearing_to_next,bearing_to_next_360,true_bearing_to_prev,bearing_to_prev_360,general_travel_direction,turn_bearing,turn_type,relative_turn_angle,elevation(m),elevation_gains_to_next(m),landmarks_notes,speed_limit(m/s),shoulder,step,routebook_trip(m),MajorTurns/Instructions,lanes,services
114,,40.88743195001406,-98.35098913792092,2632.789440391201,24.939106237334553,91.0439905389639,91.0439905389639,-88.9560094616547,271.04399053834527,S1°E,0.00019366652641394921,,,541,0.0,,,,,,,,
115,,40.887427857918944,-98.35069327285369,2657.7285466285357,24.939106237733075,91.04418420324805,91.04418420324805,-88.95581579516814,271.0441842048319,S1°E,0.00019366428415423798,,,541,-1.0,,,,,,,,
116,,40.88742376506487,-98.35039740782291,2682.667652866269,24.939106238616404,91.04437786748616,91.04437786748616,-88.9556221309238,271.0443778690762,S1°E,0.0001936642381110687,,,540,0.0,,,,,,,,
117,,40.887419671451845,-98.35010154282858,2707.606759104885,24.939106237709698,91.04457153391822,91.04457153391822,-88.95542846672554,271.04457153327445,S1°E,0.0001936664320538739,,,540,0.0,,,,,,,,
118,,40.887415577079864,-98.34980567787073,2732.545865342595,24.939106238546646,91.04476520025395,91.04476520025395,-88.95523480033334,271.04476519966664,S1°E,0.00019366633573270065,,,540,1.0,,,,,,,,
119,,40.88741148194893,-98.34950981294935,2757.4849715811415,24.93910623763773,91.04495886664147,91.04495886664147,-88.95504113403746,271.04495886596254,S1°E,0.00019366638751705523,,,541,-1.0,,,,,,,,
120,,40.88740738605904,-98.34921394806446,2782.424077818779,24.93910623840622,91.04515253293314,91.04515253293314,-88.95484746768982,271.04515253231017,S1°E,0.00019366629167905103,,,540,1.0,,,,,,,,
121,,40.88740328941019,-98.34891808321605,2807.363184057185,24.939106237362587,91.04534619713066,91.04534619713066,-88.95465380143801,271.045346198562,S1°E,0.00019366419751065678,,,541,0.0,,,,,,,,
122,,40.8873991920024,-98.34862221840415,2832.3022902945477,24.939106238106834,91.0455398633753,91.0455398633753,-88.95446013728039,271.0455398627196,S1°E,0.00019366624464112192,,,541,-1.0,,,,,,,,
123,,40.88739509383566,-98.34832635362874,2857.2413965326546,24.93910623818737,91.04573352962272,91.04573352962272,-88.95426647107564,271.04573352892436,S1°E,0.00019366624742644944,,,540,0.0,,,,,,,,
124,,40.88739099490995,-98.34803048888983,2882.180502770842,24.939106237626326,91.04592718943836,91.04592718943836,-88.9540728048681,271.04592719513187,S1°E,0.0001936598156362379,,,540,0.0,,,,,,,,
125,,40.887386895225305,-98.34773462418745,2907.119609008468,24.939106237748863,91.04612086421784,91.04612086421784,-88.95387914509237,271.0461208549076,S1°E,0.0001936747794815119,,,540,0.0,,,,,,,,
126,,40.88738279478169,-98.3474387595216,2932.058715246217,24.939106238356167,91.04631452822589,91.04631452822589,-88.95368547035281,271.0463145296472,S1°E,0.00019366400805154171,,,540,0.0,,,,,,,,
127,,40.88737869357913,-98.34714289489226,2956.9978214845733,24.939106238321912,91.04650818580416,91.04650818580416,-88.95349180638466,271.04650819361535,S1°E,0.0001936575782650607,,,540,0.0,,,,,,,,
